"","word","n"
"1","sponsorship",5
"2","visa",5
"3","change",3
"4","opt",3
"5","3",2
"6","don",2
"7","future",2
"8","sponsor",2
"9","stem",2
"10","student",2
"11","usa",2
"12","catch",1
"13","caught",1
"14","china",1
"15","citizen",1
"16","country",1
"17","denmark",1
"18","depends",1
"19","diplomacy",1
"20","doug",1
"21","employed",1
"22","europe",1
"23","father",1
"24","h1b",1
"25","home",1
"26","illegally",1
"27","india",1
"28","inside",1
"29","internet",1
"30","lenses",1
"31","location",1
"32","london",1
"33","move",1
"34","portfolio",1
"35","rich",1
"36","stance",1
"37","status",1
"38","students",1
"39","surprisingly",1
"40","translation",1
