"","word","n"
"1","analyst",18
"2","business",11
"3","marketing",6
"4","data",5
"5","financial",5
"6","analytics",3
"7","intelligence",3
"8","management",3
"9","multiple",3
"10","position",3
"11","positions",3
"12","project",3
"13","analysts",2
"14","apply",2
"15","bit",2
"16","insight",2
"17","manager",2
"18","market",2
"19","product",2
"20","sales",2
"21","strategy",2
"22","adults",1
"23","analysis",1
"24","analyzed",1
"25","automation",1
"26","bad",1
"27","biotech",1
"28","brings",1
"29","ceo",1
"30","check",1
"31","coca",1
"32","cola",1
"33","company",1
"34","computer",1
"35","contact",1
"36","customer",1
"37","customers",1
"38","digital",1
"39","draws",1
"40","executive",1
"41","fintech",1
"42","focus",1
"43","food",1
"44","function",1
"45","growth",1
"46","insights",1
"47","leading",1
"48","logical",1
"49","looked",1
"50","managers",1
"51","martin",1
"52","mastering",1
"53","memories",1
"54","mixture",1
"55","money",1
"56","operation",1
"57","operations",1
"58","opportunities",1
"59","organization",1
"60","pay",1
"61","pays",1
"62","people",1
"63","physical",1
"64","playing",1
"65","projects",1
"66","related",1
"67","rose",1
"68","running",1
"69","savvy",1
"70","school",1
"71","scientist",1
"72","similar",1
"73","sm",1
"74","sporting",1
"75","teams",1
"76","technical",1
"77","trader",1
