"","word","n"
"1","companies",5
"2","finance",5
"3","marketing",4
"4","applied",3
"5","entertainment",3
"6","financial",3
"7","industries",3
"8","tech",3
"9","analyst",2
"10","capital",2
"11","commerce",2
"12","company",2
"13","food",2
"14","start",2
"15","01",1
"16","20",1
"17","3",1
"18","30",1
"19","5",1
"20","50",1
"21","500",1
"22","adult",1
"23","advertising",1
"24","analysis",1
"25","analyst's",1
"26","animals",1
"27","applications",1
"28","attractive",1
"29","background",1
"30","banking",1
"31","beverage",1
"32","car",1
"33","cars",1
"34","cheap",1
"35","colleague",1
"36","cool",1
"37","countries",1
"38","digital",1
"39","dream",1
"40","due",1
"41","environmental",1
"42","experience",1
"43","ey",1
"44","fashion",1
"45","focus",1
"46","gentle",1
"47","growth",1
"48","health",1
"49","hopper",1
"50","ideas",1
"51","idle",1
"52","leave",1
"53","luxury",1
"54","lvmh",1
"55","manufacturing",1
"56","mba",1
"57","media",1
"58","mercedes",1
"59","mix",1
"60","music",1
"61","naughty",1
"62","nfl",1
"63","pharmaceutical",1
"64","pictures",1
"65","pretty",1
"66","process",1
"67","program",1
"68","pursuit",1
"69","reapply",1
"70","records",1
"71","related",1
"72","search",1
"73","service",1
"74","services",1
"75","snacks",1
"76","social",1
"77","software",1
"78","specific",1
"79","sport",1
"80","startup",1
"81","startups",1
"82","stay",1
"83","sustainability",1
"84","targeting",1
"85","technology",1
"86","traditional",1
"87","venture",1
