"","word","n"
"1","2",4
"2","applied",4
"3","months",4
"4","month",3
"5","started",3
"6","time",3
"7","3",2
"8","apply",2
"9","degree",2
"10","gaps",2
"11","hard",2
"12","internships",2
"13","lot",2
"14","positions",2
"15","pretty",2
"16","school",2
"17","weeks",2
"18","4",1
"19","6",1
"20","ago",1
"21","audit",1
"22","beginning",1
"23","bit",1
"24","blessing",1
"25","born",1
"26","caldwell",1
"27","call",1
"28","changing",1
"29","companies",1
"30","couple",1
"31","cpt",1
"32","current",1
"33","day",1
"34","descriptions",1
"35","door",1
"36","dual",1
"37","employer",1
"38","experience",1
"39","experienced",1
"40","fill",1
"41","fine",1
"42","forever",1
"43","fresh",1
"44","heard",1
"45","hold",1
"46","home",1
"47","hope",1
"48","houses",1
"49","hr",1
"50","internship",1
"51","interviews",1
"52","kidding",1
"53","limited",1
"54","linkedin",1
"55","living",1
"56","media",1
"57","meet",1
"58","message",1
"59","nice",1
"60","passively",1
"61","people",1
"62","platforms",1
"63","playing",1
"64","position",1
"65","positive",1
"66","replied",1
"67","requirements",1
"68","responses",1
"69","resume",1
"70","search",1
"71","seeking",1
"72","sending",1
"73","social",1
"74","sort",1
"75","stalking",1
"76","start",1
"77","stick",1
"78","trusted",1
"79","updated",1
"80","week",1
"81","yesterday",1
